,OLS_Strategy,WLS_Strategy,Benchmark
Total Return,-0.032658114588840714,-0.07227628696320376,-0.07376425761196248
Annualized Return,-0.007396846564681203,-0.016635036042228046,-0.01700288262442129
Annualized Volatility,0.07647112704852788,0.07648198042970773,0.07681154604452747
Sharpe Ratio,-0.09672731199564029,-0.21750268427628916,-0.22135842200812827
Maximum Drawdown,-0.1719343846304039,-0.1731182609669526,-0.21979314941600758
Win Rate,0.5306122448979592,0.5204081632653061,
Profit Factor,1.1082816041317158,1.1555558745581713,
Number of Trades,98.0,98.0,
