Date,price,prediction,volatility,signal,position,position_size,shares,capital,equity,returns,strategy_returns,trade_count,stop_loss,take_profit,cumulative_returns,strategy_cumulative_returns
2021-04-07,0.9793820522605382,-0.0001280823549128,0.065564007281508,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,6091.386093453899,0.004667518332490905,-0.004667518332490905,3,0.98261935295216,0.9620237454906996,0.9790734628483495,1.0147438245559535
2021-04-08,0.9793355441941919,-6.556303657033416e-06,0.0619923500089569,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,6090.515461896854,-4.748715400593184e-05,4.748715400593184e-05,3,0.98261935295216,0.9620237454906996,0.9790269694360361,1.0147920118522267
2021-04-09,0.9827952270766181,0.0001848806281415,0.0617402787057154,-1,-1,1.4901294018971016,18720.01193433209,-12242.657613134032,6155.280766744878,0.0035326838721787546,-0.0035326838721787546,3,0.98261935295216,0.9620237454906996,0.9824855622213908,1.0112070724783404
2021-04-12,0.9815429773459721,-7.216515976867607e-05,0.0613435051156978,1,1,1.6196881856761498,10157.105463047124,6154.283803191136,16123.919340607448,-0.001274171563053872,-0.001274171563053872,4,0.9739080021400581,0.9929954401548432,0.9812337070568974,1.0099186211822295
2021-04-13,0.982711731368162,0.0002173873460813,0.0588259102918595,1,1,1.6196881856761498,10157.105463047124,6154.283803191136,16135.790498471193,0.0011907313782124618,0.0011907313782124618,4,0.9739080021400581,0.9929954401548432,0.9824020928212498,1.0111211629739123
2021-04-14,0.9859603431630743,5.8135062891333905e-06,0.0591766789754375,1,1,1.6196881856761498,10157.105463047124,6154.283803191136,16168.786991080617,0.003305762708652571,0.003305762708652571,4,0.9739080021400581,0.9929954401548432,0.9856496810246005,1.014463689608401
2021-04-15,0.9885922525253772,1.0286527190409587e-05,0.0593645097699232,1,1,1.6196881856761498,10157.105463047124,6154.283803191136,16195.519572042707,0.0026693866346179096,0.0026693866346179096,4,0.9739080021400581,0.9929954401548432,0.988280761109543,1.0171716854227468
2021-04-16,0.9874080447634319,8.415861810352414e-05,0.0590526721142962,1,1,1.6196881856761498,10157.105463047124,6154.283803191136,16183.49144891447,-0.0011978727922661303,-0.0011978727922661303,4,0.9739080021400581,0.9929954401548432,0.9870969264746898,1.0159532431357154
2021-04-19,0.9872189540894096,0.0001926180572644,0.0543298358902205,1,1,1.6196881856761498,10157.105463047124,6154.283803191136,16181.570834996346,-0.0001915020593816763,-0.0001915020593816763,4,0.9739080021400581,0.9929954401548432,0.9869078953804606,1.0157586859974195
2021-04-20,0.9934540538617777,3.8539378196018005e-05,0.054951113972953,1,1,1.6196881856761498,10157.105463047124,6154.283803191136,16244.90140095691,0.00631582259086505,0.00631582259086505,4,0.9739080021400581,0.9929954401548432,0.9931410305612076,1.0221740376533093
2021-04-21,0.9923896645601346,-0.0001618093771022,0.0538998542360975,0,0,1.6196881856761498,0.0,16244.90140095691,16244.90140095691,-0.0010714026456538628,0.0,4,0.9739080021400581,0.9929954401548432,0.992076976633557,1.0221740376533093
2021-04-22,0.9928315130445772,0.0002437671319067,0.0523459756866464,-1,-1,1.8552925869144297,-30356.656440051953,16241.887496442474,-13897.157647908714,0.00044523688649911186,-0.00044523688649911186,5,0.9995735770234443,0.9827184170762766,0.9925186858978008,1.0217189280673242
2021-04-23,0.9909330147067483,5.1348512108662344e-05,0.0444632078512539,-1,-1,1.8552925869144297,-30356.656440051953,16241.887496442474,-13839.525586115235,-0.0019122059613186915,0.0019122059613186915,5,0.9995735770234443,0.9827184170762766,0.9906207857499069,1.0236726650923667
2021-04-26,0.9971075692477624,0.0001721912664325,0.0469463617092828,-1,-1,1.8552925869144297,-30356.656440051953,16241.887496442474,-14026.964416987163,0.006231051392350029,-0.006231051392350029,5,0.9995735770234443,0.9827184170762766,0.9967933947762447,1.0172941081072322
2021-04-27,0.9964326857566325,-0.000212079988872,0.0450634699901468,-1,-1,1.8552925869144297,-30356.656440051953,16241.887496442474,-14006.477210709867,-0.0006768412074528163,0.0006768412074528163,5,0.9995735770234443,0.9827184170762766,0.9961187239313434,1.0179826546796982
2021-04-28,0.9971444471477665,0.0002501002799703,0.0450846874519589,-1,-1,1.8552925869144297,-30356.656440051953,16241.887496442474,-14028.083906727816,0.0007143095577937242,-0.0007143095577937242,5,0.9995735770234443,0.9827184170762766,0.9968302610565448,1.0172554999397923
2021-04-29,1.000899683704063,2.7148597674937033e-05,0.0449348732864075,-1,-1,1.8552925869144297,-30356.656440051953,16241.887496442474,-14142.080332718431,0.0037659905413280903,-0.0037659905413280903,5,0.9995735770234443,0.9827184170762766,1.0005843143909934,1.013424525348905
2021-04-30,1.0001710875453385,-8.898777687302639e-05,0.0414004009712081,0,0,1.8552925869144297,0.0,-14142.080332718431,-14142.080332718431,-0.000727941241851604,0.0,5,0.9995735770234443,0.9827184170762766,0.9998559478025983,1.013424525348905
2021-05-03,0.9919451052644187,0.0001692931430333,0.0529375295613196,0,0,1.8552925869144297,0.0,-14142.080332718431,-14142.080332718431,-0.008224575158544467,0.0,5,0.9995735770234443,0.9827184170762766,0.9916325574121782,1.013424525348905
2021-05-04,0.9947049519282782,0.0003364411584441,0.0520575393120836,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-40859.41047251792,0.0027822574547851087,0.0027822574547851087,6,0.9880707654400167,1.0046562316606704,0.9943915344874458,1.016244133289419
2021-05-05,0.9908851442704518,-0.0002499469116936,0.0542552920722902,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-40756.82240599519,-0.0038401413910944537,-0.0038401413910944537,6,0.9880707654400167,1.0046562316606704,0.9905729303969066,1.0123416121297173
2021-05-06,0.990301882104495,0.0002813459936321,0.0531337531078707,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-40741.157811533536,-0.0005886274199683461,-0.0005886274199683461,6,0.9880707654400167,1.0046562316606704,0.9899898520085966,1.0117457200984428
2021-05-07,0.9952850645147133,4.824245651838018e-05,0.0534718216757289,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-40874.99047914101,0.005031983176310373,0.005031983176310373,6,0.9880707654400167,1.0046562316606704,0.9949714642886218,1.0168368075406822
2021-05-10,1.0037046945497239,-0.0001801305925104,0.0593957277512199,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-41101.1153638217,0.00845951610769502,0.00845951610769502,6,0.9880707654400167,1.0046562316606704,1.0033884414174683,1.0254387548929698
2021-05-11,1.001215706904304,-0.0002465401875671,0.0599536227216203,1,1,1.8890190159736509,-26856.86707615618,-14144.751798585825,-41034.26895347446,-0.002479800741129856,-0.002479800741129856,6,0.9880707654400167,1.0046562316606704,1.0009002380168002,1.022895871108603
