Date,price,prediction,volatility,signal,position,position_size,shares,capital,equity,returns,strategy_returns,trade_count,stop_loss,take_profit,cumulative_returns,strategy_cumulative_returns
2021-02-01,1.0003151851458534,8.420392709080813e-05,0.068123667725272,0,0,0.0,0.0,10000.0,10000.0,0.0,0.0,0,0.0,0.0,1.0,1.0
2021-02-02,0.9957534185729423,0.0002707644137221,0.0617356688214427,0,0,0.0,0.0,10000.0,10000.0,-0.004560329224879145,0.0,0,0.0,0.0,0.9954396707751209,1.0
2021-02-03,0.9933048828306321,0.0003586278357863,0.0580128413932307,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26196.471490282194,-0.002458977992582989,-0.002458977992582989,1,0.9855789940281204,1.0048937160343996,0.9929919065317407,0.997541022007417
2021-02-04,0.993579946110984,0.0001848432099209,0.0580533246358659,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26200.957021567978,0.0002769172739471859,0.0002769172739471859,1,0.9855789940281204,1.0048937160343996,0.9932668831435492,0.9978172583478818
2021-02-05,0.9873180014254013,0.0001711337486032,0.0583758713450845,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26098.841796442044,-0.006302406474781308,-0.006302406474781308,1,0.9855789940281204,1.0048937160343996,0.9870069115080394,0.9915286083982215
2021-02-08,0.9940638160170647,0.0003923853748442,0.0627286359909079,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26208.84761895777,0.006832463888964302,0.006832463888964302,1,0.9855789940281204,1.0048937160343996,0.9937506005890763,0.9983031918099774
2021-02-09,0.9944615687313132,-7.580511765528743e-05,0.0607514106248382,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26215.33388001553,0.00040012794736066226,0.00040012794736066226,1,0.9855789940281204,1.0048937160343996,0.9941482279770784,0.9987026408169599
2021-02-10,0.9999245242357127,0.0004227593631339,0.0602381604825828,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26304.419772528934,0.005493380213142718,0.005493380213142718,1,0.9855789940281204,1.0048937160343996,0.9996094621815785,1.0041888941428372
2021-02-11,1.000025131360381,0.0001386201138233,0.0598874636714754,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26306.06040011359,0.00010061471864108995,0.00010061471864108995,1,0.9855789940281204,1.0048937160343996,0.9997100376063669,1.0042899303258839
2021-02-12,1.0008740243524548,0.0003871853351038,0.0582335899413727,1,1,1.6198091299412136,16307.270385354648,9998.380190870059,26319.90352766357,0.0008488716587742307,0.0008488716587742307,1,0.9855789940281204,1.0048937160343996,1.000558663124283,1.0051424435849299
