,OLS_Return,OLS_Volatility,OLS_Sharpe,WLS_Return,WLS_Volatility,WLS_Sharpe,Return_Improvement,Sharpe_Improvement
Regime 0,0.002255657306763431,0.054887327085213836,0.04109614052186347,-0.012256324388169714,0.054823999037250534,-0.2235576499963469,-0.014511981694933146,-0.26465379051821036
Regime 1,0.018928929382361383,0.08804008649695272,0.21500353004556122,0.012002855843322039,0.0882108666953233,0.13607003641376078,-0.006926073539039344,-0.07893349363180044
Regime 2,-0.18567355668436572,0.12931702757269548,-1.4358013029644487,-0.1696500255413461,0.1290861425387442,-1.314238865650718,0.01602353114301963,0.12156243731373073
