Date,volatility,regime
2010-02-02,0.0824160316451547,1
2010-02-03,0.08243127122241187,1
2010-02-04,0.08836894686564563,1
2010-02-05,0.08722512160043658,1
2010-02-08,0.08626906827281947,1
2010-02-09,0.09008226993698877,1
2010-02-10,0.08430946169150136,1
2010-02-11,0.08482960427025563,1
2010-02-12,0.08229696791509021,1
2010-02-15,0.08220780443366735,1
2010-02-16,0.0946177449585639,1
2010-02-17,0.0993650695299521,1
2010-02-18,0.10105337923933015,1
2010-02-19,0.10597271291786906,1
2010-02-22,0.10599539553359454,1
2010-02-23,0.10551091822193466,1
2010-02-24,0.10569485511895879,1
2010-02-25,0.10532162210572811,1
2010-02-26,0.10916699955196965,2
2010-03-01,0.10938621494324031,2
2010-03-02,0.10887636772320168,2
2010-03-03,0.10991690906426929,2
2010-03-04,0.1119263307968065,2
2010-03-05,0.11197506801437622,2
2010-03-08,0.10574834187621786,1
2010-03-09,0.10465523348091459,1
2010-03-10,0.10493877813288141,1
2010-03-11,0.10031868565476573,1
2010-03-12,0.10243754869542325,1
2010-03-15,0.10350361449406739,1
2010-03-16,0.10512631970983215,1
2010-03-17,0.10508647363744375,1
2010-03-18,0.1014710101760408,1
2010-03-19,0.09535831190298062,1
2010-03-22,0.08802274078565073,1
2010-03-23,0.08256278427850039,1
2010-03-24,0.08889696322678792,1
2010-03-25,0.08728655691045163,1
2010-03-26,0.09169640246047621,1
2010-03-29,0.09372380382255553,1
2010-03-30,0.091070015621826,1
2010-03-31,0.09257731291407277,1
2010-04-01,0.09343415221857873,1
2010-04-02,0.09277374325043537,1
2010-04-05,0.08842309223609078,1
2010-04-06,0.08980165854150271,1
2010-04-07,0.09046824570489424,1
2010-04-08,0.09068531539423244,1
2010-04-09,0.09777330681484907,1
2010-04-12,0.10036868622057996,1
2010-04-13,0.09785632445829735,1
2010-04-14,0.09617919903206992,1
2010-04-15,0.09510040221888769,1
2010-04-16,0.09620543817810458,1
2010-04-19,0.0916254234948876,1
2010-04-20,0.09058550985352182,1
2010-04-21,0.09066079923438215,1
2010-04-22,0.09231060879512898,1
2010-04-23,0.090865209444208,1
2010-04-26,0.09065867037909363,1
2010-04-27,0.10473219466862568,1
2010-04-28,0.1035016404750021,1
2010-04-29,0.10397077779679254,1
2010-04-30,0.10184746341544994,1
2010-05-03,0.10168032237226543,1
2010-05-04,0.11563683423210434,2
2010-05-05,0.1201550527341872,2
2010-05-06,0.12616176817979854,2
2010-05-07,0.13279402274078816,2
2010-05-10,0.1330613747704959,2
2010-05-11,0.12929809264474018,2
2010-05-12,0.12511346763458076,2
2010-05-13,0.1250402722671686,2
2010-05-14,0.1274549995733244,2
2010-05-17,0.1296075401608685,2
2010-05-18,0.13718829125386767,2
2010-05-19,0.15612649489500596,2
2010-05-20,0.1602868165011567,2
2010-05-21,0.16410103031808482,2
2010-05-24,0.17023694114934368,2
2010-05-25,0.1654225848803631,2
2010-05-26,0.16807371451696063,2
2010-05-27,0.1727734739464303,2
2010-05-28,0.1716622385688243,2
2010-05-31,0.17056906369441313,2
2010-06-01,0.1692032312372609,2
2010-06-02,0.16929098469050896,2
2010-06-03,0.16148915068404748,2
2010-06-04,0.16543300532009356,2
2010-06-07,0.1606682050279364,2
2010-06-08,0.15658396824255572,2
2010-06-09,0.15653168230877876,2
2010-06-10,0.1587908278095218,2
2010-06-11,0.15873285006180296,2
2010-06-14,0.16111457077476668,2
2010-06-15,0.15684048650276083,2
2010-06-16,0.15652647296043576,2
2010-06-17,0.1453277563485504,2
2010-06-18,0.13274575223131005,2
2010-06-21,0.13200360397888605,2
2010-06-22,0.12944685999724975,2
2010-06-23,0.1164611949793364,2
2010-06-24,0.11658401056549664,2
2010-06-25,0.10562900981960516,1
2010-06-28,0.09781871284257038,1
2010-06-29,0.09891808428530714,1
2010-06-30,0.0996939624574772,1
2010-07-01,0.12442693248106651,2
2010-07-02,0.12515962912847048,2
2010-07-05,0.12357697381706524,2
2010-07-06,0.10745767226809594,1
2010-07-07,0.10522153237211557,1
2010-07-08,0.10536680938083748,1
2010-07-09,0.1076943488052357,1
2010-07-12,0.10670904428340505,1
2010-07-13,0.11041732390687375,2
2010-07-14,0.10811928440786135,1
2010-07-15,0.11462283683420951,2
2010-07-16,0.11441448798613965,2
2010-07-19,0.11387132120823334,2
2010-07-20,0.11539477003868212,2
2010-07-21,0.11889912959839936,2
2010-07-22,0.12117567358893365,2
2010-07-23,0.12118337730339218,2
2010-07-26,0.12209904328973853,2
2010-07-27,0.122500147706466,2
2010-07-28,0.11757857861675515,2
2010-07-29,0.11275673732198156,2
2010-07-30,0.11467463315646122,2
2010-08-02,0.09580796968933317,1
2010-08-03,0.09546104116370333,1
2010-08-04,0.09418344869482971,1
2010-08-05,0.09605384447185068,1
2010-08-06,0.09596701816877982,1
2010-08-09,0.09762486264377686,1
2010-08-10,0.09781339466648815,1
2010-08-11,0.09717961974320022,1
2010-08-12,0.13231588153172633,2
2010-08-13,0.13235419555683656,2
2010-08-16,0.12304157307855287,2
2010-08-17,0.12368056502422967,2
2010-08-18,0.12515882199664335,2
2010-08-19,0.12472866551051957,2
2010-08-20,0.12077303155592058,2
2010-08-23,0.11766993646699556,2
2010-08-24,0.11884790571307441,2
2010-08-25,0.11580374925619843,2
2010-08-26,0.11648530586171234,2
2010-08-27,0.11742125136850305,2
2010-08-30,0.11559004251613841,2
2010-08-31,0.11710390908258418,2
2010-09-01,0.1100845560470013,2
2010-09-02,0.11465377446050593,2
2010-09-03,0.11509057590025132,2
2010-09-06,0.11645319567975573,2
