Date,EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF
2010-01-01 00:00:00+00:00,1.4389938116073608,1.6132936477661133,92.91999816894531,0.8984725475311279,1.051200032234192,1.0339000225067139
2010-01-04 00:00:00+00:00,1.4423978328704834,1.6113698482513428,92.49500274658203,0.9124919772148132,1.0410000085830688,1.029099941253662
2010-01-05 00:00:00+00:00,1.4365959167480469,1.599078893661499,91.58499908447266,0.9118264317512512,1.0394999980926514,1.0336999893188477
2010-01-06 00:00:00+00:00,1.4404033422470093,1.602384328842163,92.35600280761719,0.9204712510108948,1.0319000482559204,1.0276000499725342
2010-01-07 00:00:00+00:00,1.4318032264709473,1.5933969020843506,93.38999938964844,0.9177680015563965,1.034000039100647,1.0335999727249146
2010-01-08 00:00:00+00:00,1.44110906124115,1.602410078048706,92.66000366210938,0.9250693917274475,1.0298000574111938,1.0235999822616577
2010-01-11 00:00:00+00:00,1.4511260986328125,1.6112918853759766,92.09200286865234,0.9297136068344116,1.0338000059127808,1.016700029373169
2010-01-12 00:00:00+00:00,1.447659969329834,1.615169644355774,91.08000183105469,0.9204712510108948,1.039199948310852,1.0188000202178955
2010-01-13 00:00:00+00:00,1.4523905515670776,1.628611445426941,91.43299865722656,0.9242144227027893,1.0307999849319458,1.0176000595092773
2010-01-14 00:00:00+00:00,1.4499897956848145,1.6333998441696167,91.26699829101562,0.9313588738441467,1.0233999490737915,1.0185999870300293
2010-01-15 00:00:00+00:00,1.4390974044799805,1.6269950866699219,90.75,0.9226794838905334,1.0290000438690186,1.024899959564209
2010-01-18 00:00:00+00:00,1.4406731128692627,1.63529634475708,90.70500183105469,0.927385687828064,1.0247999429702759,1.0235999822616577
2010-01-19 00:00:00+00:00,1.4281021356582642,1.6356706619262695,91.1989974975586,0.9225943684577942,1.0317000150680542,1.0326000452041626
2010-01-20 00:00:00+00:00,1.4110342264175415,1.6298059225082397,91.19200134277344,0.9114938974380493,1.045199990272522,1.0435999631881714
2010-01-21 00:00:00+00:00,1.4097015857696533,1.620509147644043,90.39299774169922,0.904568076133728,1.0506000518798828,1.041599988937378
2010-01-22 00:00:00+00:00,1.414107084274292,1.611006498336792,89.80999755859375,0.9012256860733032,1.0573999881744385,1.0418000221252441
2010-01-25 00:00:00+00:00,1.4150075912475586,1.6250121593475342,90.41500091552734,0.9049773812294006,1.0569000244140625,1.0399999618530273
2010-01-26 00:00:00+00:00,1.4082324504852295,1.614700198173523,89.62999725341797,0.9001709818840027,1.0621000528335571,1.0458999872207642
2010-01-27 00:00:00+00:00,1.4030951261520386,1.6178088188171387,89.94999694824219,0.8962982892990112,1.063599944114685,1.0497000217437744
2010-01-28 00:00:00+00:00,1.3968042135238647,1.614309310913086,89.77799987792969,0.8935751914978027,1.066100001335144,1.051800012588501
2010-01-29 00:00:00+00:00,1.3866932392120361,1.5984909534454346,90.2699966430664,0.8843296766281128,1.0700000524520874,1.0607999563217163
2010-02-01 00:00:00+00:00,1.3926994800567627,1.595252513885498,90.76000213623047,0.8919811248779297,1.0616999864578247,1.056399941444397
2010-02-02 00:00:00+00:00,1.3976240158081055,1.599206805229187,90.4280014038086,0.8873114585876465,1.0571800470352173,1.0547000169754028
2010-02-03 00:00:00+00:00,1.3901052474975586,1.5920017957687378,90.83999633789062,0.8822231888771057,1.0618000030517578,1.0580999851226807
2010-02-04 00:00:00+00:00,1.3744947910308838,1.5769885778427124,89.41000366210938,0.8689607381820679,1.0720000267028809,1.065600037574768
2010-02-05 00:00:00+00:00,1.368007779121399,1.565802812576294,89.22000122070312,0.8685833811759949,1.0708999633789062,1.0721999406814575
2010-02-08 00:00:00+00:00,1.3654673099517822,1.5576082468032837,89.22000122070312,0.8634833097457886,1.0745799541473389,1.0728000402450562
2010-02-09 00:00:00+00:00,1.378207802772522,1.5693906545639038,89.76799774169922,0.8775008320808411,1.067199945449829,1.0651999711990356
2010-02-10 00:00:00+00:00,1.3753266334533691,1.5612071752548218,89.93000030517578,0.8768084645271301,1.062000036239624,1.0664000511169434
2010-02-11 00:00:00+00:00,1.3681762218475342,1.5702037811279297,89.80999755859375,0.8902341723442078,1.0501999855041504,1.0707000494003296
2010-02-12 00:00:00+00:00,1.363493800163269,1.5698094367980957,89.94999694824219,0.889284074306488,1.0504499673843384,1.0750999450683594
2010-02-15 00:00:00+00:00,1.3603036403656006,1.5667105913162231,90.05000305175781,0.889284074306488,1.0491600036621094,1.0770000219345093
2010-02-16 00:00:00+00:00,1.3767088651657104,1.579005479812622,90.24400329589844,0.9013068675994873,1.0434000492095947,1.0657999515533447
2010-02-17 00:00:00+00:00,1.3606922626495361,1.5682092905044556,91.05000305175781,0.8987148404121399,1.0462000370025635,1.0775799751281738
2010-02-18 00:00:00+00:00,1.3461486101150513,1.5423054695129395,91.97699737548828,0.8896797299385071,1.0503100156784058,1.0877000093460083
2010-02-19 00:00:00+00:00,1.3615074157714844,1.5464078187942505,91.54000091552734,0.900009036064148,1.039199948310852,1.0757999420166016
2010-02-22 00:00:00+00:00,1.3605626821517944,1.548658847808838,91.23500061035156,0.9001709818840027,1.042199969291687,1.0755000114440918
2010-02-23 00:00:00+00:00,1.3527040481567383,1.5445923805236816,90.16000366210938,0.8927774429321289,1.0549999475479126,1.082200050354004
2010-02-24 00:00:00+00:00,1.354316234588623,1.5417109727859497,90.27899932861328,0.8943743705749512,1.0527000427246094,1.0808000564575195
2010-02-25 00:00:00+00:00,1.3536012172698975,1.5243902206420898,89.2699966430664,0.8865247964859009,1.0608999729156494,1.0810999870300293
